,(단위 : 백만원),Unnamed: 1,Unnamed: 2,Unnamed: 3
0, ,제 52 기,제 51 기,제 50 기
1,당기순이익(손실),26407832,21738865,44344857
2,기타포괄손익,-3673905,3016194,-12242
3,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,1788764,-50765,-656647
4,        기타포괄손익-공정가치금융자산평가손익,2502733,1146599,-235865
5,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,5591,-16896,-10631
6,        순확정급여부채(자산) 재측정요소,-719560,-1180468,-410151
7,    후속적으로 당기손익으로 재분류되는 포괄손익,-5462669,3066959,644405
8,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-48888,48649,6688
9,        해외사업장환산외환차이,-5380375,3016499,590638
10,        현금흐름위험회피파생상품평가손익,-33406,1811,47079
11,총포괄손익,22733927,24755059,44332615
12,포괄손익의 귀속, , , 
13,    지배기업 소유주지분,22374398,24466985,43882473
14,    비지배지분,359529,288074,450142
